N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95,avg_aoi_mean,avg_aoi_ci95
3,high,1,burst,ar1_growth_voi,21,0.45269191361275174,0.01905617989169938,0.09585157795428634,0.01607713257676961,1.1997321674741028,0.23521394823462569,0.603821464062826,0.010864227502662027,4.4413328606877,0.20399293589527134
3,high,1,burst,b2croi_hq,21,0.3753923919986341,0.02371624684684701,0.02728453655474375,0.005177621891357369,0.3111583756745048,0.0684749323069577,0.9568362454106859,0.012910895740278679,5.310094922998149,0.5942274907580658
3,high,1,burst,cvoi_sf,21,0.41409097521226895,0.017459774968050772,0.07780521605288475,0.01423225766166035,0.9610461223364452,0.19509219450932502,0.9926400205122556,0.001809943350882523,1.6326283035960456,0.039665409213228205
3,high,1,burst,error_trigger,21,0.35921113768120055,0.01937195333722179,0.06989790037613648,0.013056103955115,0.8420969711292294,0.18301746807820757,0.948156060143368,0.016094977079381956,6.072165110874788,0.7195744033494929
3,high,1,burst,generic_voi,21,0.35677748806756077,0.019187112999636616,0.0691907104584172,0.012348704715452486,0.852337626531175,0.17211694169108094,0.9488186116721495,0.01582891717279139,5.418118082634211,0.5587429012227235
3,high,1,burst,oracle,21,0.38796418025202556,0.028250662916312334,0.020428561574056106,0.0032280751133506678,0.22293119067312617,0.04165588168220878,0.9406401484168256,0.01523901279722094,5.957973925715861,0.7349413951028119
3,high,1,severe_burst,ar1_growth_voi,21,0.7151415333751935,0.0475372167843314,0.13584606793715193,0.020029751225307278,1.6763165150261923,0.29315785725388016,0.6225281099164012,0.012574420856257776,5.439536807278743,0.2289851069436236
3,high,1,severe_burst,b2croi_hq,21,0.6533122632417636,0.04680470455860927,0.07046818184470818,0.010232799978916901,0.8113750049233921,0.13108526775688756,0.9727787421023787,0.008618636499023459,6.294718185040766,0.6573764406980057
3,high,1,severe_burst,cvoi_sf,21,0.6737705839597905,0.04664225490987662,0.11953830083400134,0.017611946417548496,1.4305407853794951,0.2341366791202608,0.9927587966768249,0.0014646628568310085,2.6329512781125683,0.09944674349718798
3,high,1,severe_burst,error_trigger,21,0.6318239181697483,0.04718021003841341,0.11139888845157135,0.01532037534704675,1.3525542557800623,0.20326075550883035,0.955465395496034,0.014614204093242746,7.458434755208949,0.8359451004199877
3,high,1,severe_burst,generic_voi,21,0.6320282796089997,0.0475000192495248,0.11007364734094464,0.015059760054829462,1.3320729449761708,0.20186087827895058,0.9564796572501043,0.0139478338128537,6.6480523061168215,0.6547587634854011
3,high,1,severe_burst,oracle,21,0.6626197588787823,0.05046009538086059,0.05791569264547648,0.007581960547414619,0.634920634920635,0.08804453108311609,0.9477993738307587,0.01418881196359274,7.3590295009649855,0.8654704462508875
3,low,1,burst,ar1_growth_voi,21,0.42049537951340976,0.018117618443073195,0.06750904651431797,0.01399607532841704,0.894875733585411,0.2037773080524563,0.6411725733078908,0.01281076137118716,3.77670644767419,0.1437333084636673
3,low,1,burst,b2croi_hq,21,0.3488364130138601,0.021782986582974624,0.0166380435295117,0.0031432307448874823,0.19536019536019533,0.0438798882490785,0.9766754273555984,0.006394408055981362,8.695758005435424,0.8001405913512074
3,low,1,burst,cvoi_sf,21,0.39779297378761375,0.015429213404568414,0.047011690262196114,0.007634968061738336,0.5782031588483202,0.10719795859438501,0.9963579781742262,0.0011134735415113237,1.6224742998936548,0.04122773440692589
3,low,1,burst,error_trigger,21,0.3391429985589636,0.019585378639831702,0.0362475237883174,0.006654417104703721,0.46949466304305015,0.0987891131020154,0.969503277416665,0.008693391327550622,9.55439757375241,0.9637681381480687
3,low,1,burst,generic_voi,21,0.3369217991502749,0.01968329436873234,0.03536463388577877,0.0063795842824018465,0.4576785221946511,0.09472388670088419,0.9716040098816641,0.007738548726578618,8.282350624286108,0.7434344130503233
3,low,1,burst,oracle,21,0.3518136842248582,0.02569128906743658,0.014614288422170062,0.002618624064525099,0.1654259718775848,0.03621602359661195,0.9691808213824238,0.008774023244131514,9.555145929339478,0.9549372674966021
3,low,1,severe_burst,ar1_growth_voi,21,0.6774297031709517,0.04681192936644085,0.10528116653472955,0.0171699361440762,1.3541297412265154,0.2416664836581297,0.6589990550366478,0.01496892523143061,4.7807869549805035,0.18599273393160726
3,low,1,severe_burst,b2croi_hq,21,0.6220138934323501,0.04841992383382542,0.055833380545537846,0.0070008888446469,0.6766709992516444,0.08439914269327944,0.9834250705416839,0.00487173610851349,9.44144314466895,0.9080178277974442
3,low,1,severe_burst,cvoi_sf,21,0.6511918932728147,0.04387288754842808,0.0838736137429723,0.011174865983843905,1.0217023120248925,0.14766899073764606,0.9963637137439502,0.0009024581213628392,2.6261136712749615,0.10139155641489345
3,low,1,severe_burst,error_trigger,21,0.6023854701606135,0.04517103121343574,0.07664884536705573,0.011963167692327347,0.9760132340777501,0.16904101860355536,0.9688145523564567,0.009225542905038523,10.89408011343495,0.980014532073581
3,low,1,severe_burst,generic_voi,21,0.6033490107808565,0.046593290157874646,0.07535575862050045,0.01135003469397981,0.9523809523809526,0.15921302325370454,0.9699807551567945,0.008839735622751173,9.86524872976486,0.9165023952548271
3,low,1,severe_burst,oracle,21,0.6194109660815431,0.04979876661806743,0.04929300362480633,0.0065400432487364175,0.5829296151876797,0.08296337800916606,0.9685349998312437,0.008941127989784633,10.888132655874593,0.9814972292819666
3,medium,1,burst,ar1_growth_voi,21,0.4332921544374157,0.018346764657134574,0.07321253585532715,0.014890134618619856,0.97601323407775,0.2217656591649715,0.6267455216966424,0.012362718341347102,3.9897829768797513,0.1730767144367216
3,medium,1,burst,b2croi_hq,21,0.3532097634203923,0.021533616767928365,0.016547598253949417,0.0031251517685640918,0.19299696719051557,0.04357733051467376,0.9829318207074023,0.009312868634987615,6.537445350348575,0.6261189180945028
3,medium,1,burst,cvoi_sf,21,0.4065902508921352,0.01568397376703041,0.04792168476170812,0.00787501709840358,0.5876560715270392,0.11317563323675814,0.994866390928009,0.0015063163864289415,1.6260979164204972,0.0410508969519649
3,medium,1,burst,error_trigger,21,0.3467025546729483,0.019531434938143934,0.03683660982353215,0.0075774739917654965,0.4726456339359565,0.11810960272818644,0.9760835002034985,0.011551220246677084,7.381354129741226,0.7535302676391673
3,medium,1,burst,generic_voi,21,0.3442441386516652,0.019495703278101992,0.03692819748255307,0.007107855008981579,0.47658434755208956,0.109579864191885,0.9767305700611286,0.011146033037118705,6.375792666115247,0.569215320533771
3,medium,1,burst,oracle,21,0.3579875843716537,0.025814748954971208,0.014707083881875934,0.002832467750331256,0.1654259718775848,0.03829869085663719,0.9761006863906342,0.011660895061045898,7.39961400606562,0.7569060915400542
3,medium,1,severe_burst,ar1_growth_voi,21,0.6931473428860953,0.047139497585920336,0.10965639767488926,0.014855355654046491,1.3872149356020327,0.20195592178221983,0.6473601868243906,0.014565226800593791,5.025491354523614,0.19996306888059018
3,medium,1,severe_burst,b2croi_hq,21,0.6288243355471569,0.04708572874812921,0.053935151402355754,0.007463920990559444,0.644373547599354,0.09218323917595739,0.9878334561233402,0.00671419200310114,7.73564929693962,0.7353741533232944
3,medium,1,severe_burst,cvoi_sf,21,0.6622623252815124,0.04519764118072521,0.08247358810661296,0.010539577228816809,0.9657725786758046,0.1336382132420432,0.9950742555550958,0.0012089421350993741,2.6277049115758793,0.09926093764682731
3,medium,1,severe_burst,error_trigger,21,0.6148369278021927,0.0480692952893156,0.07322510070602364,0.011595882039080659,0.9074796171570367,0.16371968104581142,0.9777029257212881,0.01031527306999304,8.832612548741581,0.8999093403766949
3,medium,1,severe_burst,generic_voi,21,0.6127216268196337,0.047029979139410746,0.07409470069452169,0.011499370647671174,0.9224467288983418,0.16056456890309737,0.977640813134,0.01074122688729729,7.720099255583126,0.7574274854005363
3,medium,1,severe_burst,oracle,21,0.6316633614651028,0.053549478168816514,0.04704945052496303,0.00787814986012751,0.5333018236244043,0.09813906219029608,0.9779496579976014,0.010745003507814804,8.85965575642995,0.8958824017900836
6,high,2,burst,ar1_growth_voi,21,0.3747676890395413,0.014645426393724341,0.06323343347981736,0.011612908715989188,0.8507621410847216,0.1698692603518055,0.6568363421018583,0.010648684058997604,3.5197723423529874,0.12243226699129563
6,high,2,burst,b2croi_hq,21,0.3121729727023432,0.016355069578605504,0.014814194762548487,0.0013776191743769164,0.1673953286856513,0.016925734993087915,0.9989943498871119,0.0005379529574011375,2.645547284256961,0.07304162222823318
6,high,2,burst,cvoi_sf,21,0.3543017872549814,0.013936133448280718,0.04439906966575946,0.005808259256738649,0.5462995785576431,0.07918014295755707,0.9941292135317329,0.0012449733411121098,1.5589034621292686,0.022457337945011827
6,high,2,burst,error_trigger,21,0.2739155995470646,0.01560961743181891,0.032555050327368634,0.006786779578605284,0.4226239710110678,0.09920629845850354,0.9891482600944661,0.003528487194543944,8.961085509472607,1.2798931214935956
6,high,2,burst,generic_voi,21,0.27421024590141746,0.015642891148559535,0.03229161638140653,0.006026651835959384,0.4178975146717082,0.08864458063013587,0.988894265514169,0.003483306623178504,7.290803103706328,0.9855730882917557
6,high,2,burst,oracle,21,0.27811649392341037,0.01594864807055739,0.014349217388609151,0.0013108620287290071,0.16778920004726458,0.017227614582955585,0.9895106352352426,0.0034510569976975913,9.029800307219663,1.317408429689545
6,high,2,severe_burst,ar1_growth_voi,21,0.5516136217222328,0.023608680321558204,0.09124733569196068,0.01384460236401069,1.1926424829650635,0.2054379966655014,0.677786344372391,0.011828714469458513,4.250797589507267,0.1412169192274097
6,high,2,severe_burst,b2croi_hq,21,0.505893821837907,0.025178930656815455,0.04275609558327202,0.0038968637376076715,0.5053369569498601,0.0558227838901301,0.9991085444912351,0.0003366163666489335,3.3116507148765217,0.09328487870835728
6,high,2,severe_burst,cvoi_sf,21,0.5310758679159268,0.022794988243291646,0.0730277526314547,0.006586297351598057,0.8850289495450787,0.08937839370994827,0.9947691369769439,0.0009878674985974835,2.269415888770727,0.05528264431130537
6,high,2,severe_burst,error_trigger,21,0.45882318367846425,0.02349934706343489,0.059141801609692214,0.008012824991000362,0.7471739729804246,0.11470711059201882,0.9902993422238546,0.002955293856053069,10.181082358501712,1.3675520280933224
6,high,2,severe_burst,generic_voi,21,0.45932148775493886,0.023405231911192058,0.05901509346980315,0.007459557119282556,0.7483555870652646,0.10903683026677007,0.9896287599470756,0.0031146776205869813,8.902107211784632,1.2284385877685864
6,high,2,severe_burst,oracle,21,0.4621754732611201,0.02300587318742703,0.041501119378226495,0.003952377608893959,0.5045492142266336,0.05783884375895658,0.9905970828782219,0.0028885853836512296,10.213911536492182,1.3767586172429154
6,low,2,burst,ar1_growth_voi,21,0.3573964864333086,0.014436005292796318,0.05942624369429622,0.012613272095972673,0.8062546772224192,0.17960758581019443,0.6748923546722205,0.011692406399916406,3.386509905864744,0.11662507303838891
6,low,2,burst,b2croi_hq,21,0.29639682539563483,0.016928415448070954,0.01409610105172014,0.0018482719532885218,0.16581984323919807,0.025935805360591244,0.9994697494109515,0.0001285031729695512,2.7054078537949504,0.06815673942498689
6,low,2,burst,cvoi_sf,21,0.34212374390353567,0.014271564813507135,0.041035680124623046,0.006390760300076959,0.5147898696285793,0.08648124972074275,0.997182594094996,0.0007876989630963049,1.5618417424869038,0.024921416117571697
6,low,2,burst,error_trigger,21,0.25867637288070483,0.016579740312555543,0.027854443733534497,0.006454314292809508,0.36945133719327267,0.08924059556356355,0.9570544578342838,0.007979956076223252,13.909464728819566,1.7457531482177324
6,low,2,burst,generic_voi,21,0.2576941990636995,0.01636234301606685,0.02764652042417444,0.006017260050702389,0.3690574658316593,0.08289438797359609,0.9596928611945152,0.0078036443699237325,12.13165544133286,1.3896979354227776
6,low,2,burst,oracle,21,0.2592888086217413,0.016586897101390122,0.013558134139796769,0.0018046159004747092,0.1658198432391981,0.02612811160857858,0.9569973227444599,0.007962241508643142,13.819047619047621,1.7610159572326396
6,low,2,severe_burst,ar1_growth_voi,21,0.5356811841619842,0.022812294444153707,0.0857940794413756,0.014357650118494157,1.130804679191776,0.20653929125862933,0.6951369111175072,0.012396915100766228,4.106124699673087,0.12711107492946716
6,low,2,severe_burst,b2croi_hq,21,0.49139069414250325,0.024231983067513792,0.03862750807905753,0.004323500422889096,0.45295206585529163,0.061048574180270196,0.9995502861566085,0.00019559924483599698,3.371381306865178,0.0994568043141216
6,low,2,severe_burst,cvoi_sf,21,0.5162157685018374,0.02250036740635685,0.06799667984853601,0.008497611248685635,0.831068573004057,0.11602672052835611,0.9974651748755654,0.0006808705292106552,2.274299893654732,0.0551189065571897
6,low,2,severe_burst,error_trigger,21,0.44408858097753023,0.02357636760071433,0.05306152211209591,0.00968196306740409,0.6695813147426051,0.13290371494992106,0.9636312432695675,0.007306066663421468,15.369695537437476,1.7747156640864554
6,low,2,severe_burst,generic_voi,21,0.4437627213875929,0.02349095438418762,0.05354954947211039,0.009540293045765383,0.6739138997203513,0.13125564680465596,0.9657373346014828,0.007068031513349871,13.442467210209148,1.5920389166846958
6,low,2,severe_burst,oracle,21,0.4469557129988885,0.023424538388907356,0.03679956534056471,0.0041832777300276295,0.44271141045334594,0.06102514052544473,0.9631405427843963,0.007426959759206653,15.377962897317735,1.8115365044870644
6,medium,2,burst,ar1_growth_voi,21,0.36419427962803524,0.014695019990157484,0.0583155778442394,0.01158254263204088,0.7999527354366065,0.1730548177644642,0.6692890475652225,0.012108996117453225,3.4200047264563387,0.1160880138606365
6,medium,2,burst,b2croi_hq,21,0.3035260546740084,0.016769547030643418,0.013648299787760023,0.0016308588258128248,0.15873015873015872,0.022223330507548506,0.9996454027724762,0.00012222511816226543,2.6525069912166686,0.07510562702305756
6,medium,2,burst,cvoi_sf,21,0.34746123065081236,0.014867849716471376,0.04098801247346874,0.006073644553833614,0.5073063137579267,0.08717619812964097,0.9963252067539775,0.0010789610396904033,1.5571192248611605,0.02377378437126686
6,medium,2,burst,error_trigger,21,0.26365250909371,0.016273858648456364,0.03129537086598891,0.007547518596303965,0.4206546142030013,0.11130689109542599,0.9866601569452459,0.0037804475530193505,10.725554373941472,1.4622484678297964
6,medium,2,burst,generic_voi,21,0.2632666905275636,0.015830102882814452,0.030270913151624973,0.006855178078782473,0.4021426602071764,0.0982846979978448,0.9877636041425937,0.0035549547286013645,9.057859703020993,1.2389345567500945
6,medium,2,burst,oracle,21,0.2648273639493836,0.01630416612760621,0.013210342525998545,0.0015643130305283374,0.16030564417661192,0.021850120764176577,0.9868749204047266,0.0037323421492128353,10.709976761589665,1.465254570135713
6,medium,2,severe_burst,ar1_growth_voi,21,0.5432573564230565,0.023223985584229962,0.08500907561443849,0.014300344650611415,1.118594666981764,0.20993130997656623,0.6915872222047283,0.012002477685813263,4.1392847296073105,0.13164078912948385
6,medium,2,severe_burst,b2croi_hq,21,0.4952697593353021,0.024163650606082044,0.03796083368501436,0.003481644921350559,0.4403481822836661,0.0496526849921827,0.9996309884323163,0.00014783452977029584,3.3250187088896763,0.09771831645896091
6,medium,2,severe_burst,cvoi_sf,21,0.5211683228855666,0.022188180801317264,0.06817749608528646,0.007930981585804698,0.8212217889637246,0.11040290252158619,0.9967576478445623,0.0008398109123316672,2.2684745362164715,0.05540243440292095
6,medium,2,severe_burst,error_trigger,21,0.44903425721929535,0.023594828268287706,0.0570066801521991,0.010178359963043851,0.7223600771987869,0.14353764570977004,0.9873605124348357,0.0033372866719775535,12.064701248572215,1.4900030120282224
6,medium,2,severe_burst,generic_voi,21,0.44852086335330005,0.02363996809718188,0.054741835697472464,0.009174961276316798,0.6865177832919768,0.12850641865544232,0.9889855714548406,0.003044191414126674,10.457241324983258,1.3354267219685358
